Part Name,eBay Scraped Avg Price,eBay Scraped Low Price,eBay Scraped URL,Scraped Image Filename,eBay Scrape Error,Google Shopping Avg Price,Google Shopping URL,Google Scrape Error
Control Modules,134.52,16.14,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Control%20Modules%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Control_Modules_20250518171050984075.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Control%20Modules%20used%20price&tbm=shop,Google Shopping scraping not implemented
Wiring Harnesses,140.49,14.95,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Wiring%20Harnesses%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Wiring_Harnesses_20250518171058004357.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Wiring%20Harnesses%20used%20price&tbm=shop,Google Shopping scraping not implemented
Ball Joints,83.39,14.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Ball%20Joints%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Ball_Joints_20250518171105009782.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Ball%20Joints%20used%20price&tbm=shop,Google Shopping scraping not implemented
Control Arms,72.92,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Control%20Arms%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Control_Arms_20250518171112316026.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Control%20Arms%20used%20price&tbm=shop,Google Shopping scraping not implemented
Power Steering Pumps,187.75,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Power%20Steering%20Pumps%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Power_Steering_Pumps_20250518171119023440.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Power%20Steering%20Pumps%20used%20price&tbm=shop,Google Shopping scraping not implemented
Shock Absorbers & Struts,114.67,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Shock%20Absorbers%20%26%20Struts%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Shock_Absorbers_Struts_20250518171126004912.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Shock%20Absorbers%20%26%20Struts%20used%20price&tbm=shop,Google Shopping scraping not implemented
Wheel Hubs & Bearings,72.24,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Wheel%20Hubs%20%26%20Bearings%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Wheel_Hubs_Bearings_20250518171133334663.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Wheel%20Hubs%20%26%20Bearings%20used%20price&tbm=shop,Google Shopping scraping not implemented
Hitches,213.25,19.95,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Hitches%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Hitches_20250518171140278409.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Hitches%20used%20price&tbm=shop,Google Shopping scraping not implemented
Tow Hooks,71.25,13.1,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Tow%20Hooks%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Tow_Hooks_20250518171147416269.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Tow%20Hooks%20used%20price&tbm=shop,Google Shopping scraping not implemented
Axles & Parts,89.52,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Axles%20%26%20Parts%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Axles_Parts_20250518171154524577.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Axles%20%26%20Parts%20used%20price&tbm=shop,Google Shopping scraping not implemented
Wheels,176.36,14.97,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Wheels%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Wheels_20250518171202155866.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Wheels%20used%20price&tbm=shop,Google Shopping scraping not implemented
Oil Pumps,137.53,12.5,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Oil%20Pumps%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Oil_Pumps_20250518171210241889.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Oil%20Pumps%20used%20price&tbm=shop,Google Shopping scraping not implemented
Body Control Modules (BCM),146.19,20.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Body%20Control%20Modules%20%28BCM%29%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Body_Control_Modules_BCM__20250518171217551808.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Body%20Control%20Modules%20%28BCM%29%20used%20price&tbm=shop,Google Shopping scraping not implemented
Transmission Control Modules (TCM),92.14,19.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Transmission%20Control%20Modules%20%28TCM%29%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Transmission_Control_Modules_TCM__20250518171225109909.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Transmission%20Control%20Modules%20%28TCM%29%20used%20price&tbm=shop,Google Shopping scraping not implemented
C-Pillar Trims,48.16,14.95,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20C-Pillar%20Trims%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_C-Pillar_Trims_20250518171233629197.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20C-Pillar%20Trims%20used%20price&tbm=shop,Google Shopping scraping not implemented
Mirror Caps,74.76,14.0,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Mirror%20Caps%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Mirror_Caps_20250518171241961738.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Mirror%20Caps%20used%20price&tbm=shop,Google Shopping scraping not implemented
Window Trim,56.92,12.99,https://www.ebay.com/sch/i.html?_from=R40&_nkw=2012%20MINI%20Hardtop%20Window%20Trim%20used&LH_ItemCondition=3000&LH_LocatedIn=US&rt=1&LH_PrefLoc=1&_sacat=6030,WMWSU3C5XCT542504_Window_Trim_20250518171249267391.png,,,https://www.google.com/search?q=2012%20MINI%20Hardtop%20Window%20Trim%20used%20price&tbm=shop,Google Shopping scraping not implemented
